山东联通,#genre#
浙江少儿,http://123.157.31.182:7912/rtp/233.50.201.138:5140
CCTV1,http://123.157.31.182:7912/rtp/233.50.201.118:5140
CCTV2,http://123.157.31.182:7912/rtp/233.50.201.119:5140
CCTV3,http://123.157.31.182:7912/rtp/233.50.201.196:5140
CCTV4,http://123.157.31.182:7912/rtp/233.50.201.4:5140
CCTV5,http://123.157.31.182:7912/rtp/233.50.201.197:5140
CCTV5+,http://123.157.31.182:7912/rtp/233.50.201.220:5140
CCTV6,http://123.157.31.182:7912/rtp/233.50.201.198:5140
CCTV7,http://123.157.31.182:7912/rtp/233.50.201.120:5140
CCTV8,http://123.157.31.182:7912/rtp/233.50.201.199:5140
CCTV9,http://123.157.31.182:7912/rtp/233.50.201.121:5140
CCTV10,http://123.157.31.182:7912/rtp/233.50.201.122:5140
CCTV11,http://123.157.31.182:7912/rtp/233.50.201.11:5140
CCTV12,http://123.157.31.182:7912/rtp/233.50.201.123:5140
CCTV13,http://123.157.31.182:7912/rtp/233.50.201.246:5140
CCTV14,http://123.157.31.182:7912/rtp/233.50.201.124:5140
CCTV15,http://123.157.31.182:7912/rtp/233.50.201.15:5140
CCTV16 4k,http://123.157.31.182:7912/rtp/233.50.201.63:5140
CCTV16,http://123.157.31.182:7912/rtp/233.50.201.192:5140
CCTV17,http://123.157.31.182:7912/rtp/233.50.201.35:5140
浙江卫视,http://123.157.31.182:7912/rtp/233.50.201.100:5140
深圳卫视,http://123.157.31.182:7912/rtp/233.50.201.101:5140
广东卫视,http://123.157.31.182:7912/rtp/233.50.201.102:5140
湖南卫视,http://123.157.31.182:7912/rtp/233.50.201.103:5140
天津卫视,http://123.157.31.182:7912/rtp/233.50.201.104:5140
山东卫视,http://123.157.31.182:7912/rtp/233.50.201.105:5140
江苏卫视,http://123.157.31.182:7912/rtp/233.50.201.106:5140
北京卫视,http://123.157.31.182:7912/rtp/233.50.201.107:5140
四川卫视,http://123.157.31.182:7912/rtp/233.50.201.139:5140
河北卫视,http://123.157.31.182:7912/rtp/233.50.201.140:5140
辽宁卫视,http://123.157.31.182:7912/rtp/233.50.201.141:5140
贵州卫视,http://123.157.31.182:7912/rtp/233.50.201.142:5140
重庆卫视,http://123.157.31.182:7912/rtp/233.50.201.143:5140
河南卫视,http://123.157.31.182:7912/rtp/233.50.201.144:5140
江西卫视,http://123.157.31.182:7912/rtp/233.50.201.145:5140
东南卫视,http://123.157.31.182:7912/rtp/233.50.201.146:5140
安徽卫视,http://123.157.31.182:7912/rtp/233.50.201.113:5140
湖北卫视,http://123.157.31.182:7912/rtp/233.50.201.114:5140
黑龙江卫视,http://123.157.31.182:7912/rtp/233.50.201.115:5140
东方卫视,http://123.157.31.182:7912/rtp/233.50.201.125:5140
内蒙古卫视,http://123.157.31.182:7912/rtp/233.50.201.148:5140
甘肃卫视,http://123.157.31.182:7912/rtp/233.50.201.149:5140
海南卫视,http://123.157.31.182:7912/rtp/233.50.201.55:5140
青海卫视,http://123.157.31.182:7912/rtp/233.50.201.65:5140
西藏卫视,http://123.157.31.182:7912/rtp/233.50.201.70:5140
陕西卫视,http://123.157.31.182:7912/rtp/233.50.201.59:5140
兵团卫视,http://123.157.31.182:7912/rtp/233.50.201.72:5140
山西卫视,http://123.157.31.182:7912/rtp/233.50.201.51:5140
宁夏卫视,http://123.157.31.182:7912/rtp/233.50.201.57:5140
广西卫视,http://123.157.31.182:7912/rtp/233.50.201.49:5140
云南卫视,http://123.157.31.182:7912/rtp/233.50.201.46:5140
吉林卫视,http://123.157.31.182:7912/rtp/233.50.201.48:5140
中国教育一套,http://123.157.31.182:7912/rtp/233.50.201.75:5140
中国教育四套,http://123.157.31.182:7912/rtp/233.50.201.172:5140
凤凰卫视中文,http://123.157.31.182:7912/rtp/233.50.200.191:5140
凤凰卫视资讯,http://123.157.31.182:7912/rtp/233.50.200.192:5140
CGTN,http://123.157.31.182:7912/rtp/233.50.201.126:5140
CGTN-西班牙语,http://123.157.31.182:7912/rtp/233.50.201.36:5140
CGTN-法语,http://123.157.31.182:7912/rtp/233.50.201.37:5140
CGTN-阿拉伯语,http://123.157.31.182:7912/rtp/233.50.201.38:5140
CGTN-俄语,http://123.157.31.182:7912/rtp/233.50.201.39:5140
钱江频道,http://123.157.31.182:7912/rtp/233.50.201.132:5140
杭州1综合,http://123.157.31.182:7912/rtp/233.50.201.173:5140
杭州2明珠,http://123.157.31.182:7912/rtp/233.50.201.174:5140
杭州3生活,http://123.157.31.182:7912/rtp/233.50.201.175:5140
杭州4影视,http://123.157.31.182:7912/rtp/233.50.201.176:5140
杭州5青少,http://123.157.31.182:7912/rtp/233.50.201.177:5140
杭州导视,http://123.157.31.182:7912//rtp/233.50.201.182:5140
极速汽车,http://123.157.31.182:7912/rtp/233.50.201.208:5140
宁波TV1,http://123.157.31.182:7912/rtp/233.50.201.168:5140
宁波TV2,http://123.157.31.182:7912/rtp/233.50.201.178:5140
宁波TV3,http://123.157.31.182:7912/rtp/233.50.201.179:5140
宁波TV4,http://123.157.31.182:7912/rtp/233.50.201.180:5140
宁波TV5,http://123.157.31.182:7912/rtp/233.50.201.181:5140
温州新闻,http://123.157.31.182:7912/rtp/233.50.201.87:5140
衢州新闻,http://123.157.31.182:7912/rtp/233.50.201.155:5140
绍兴新闻,http://123.157.31.182:7912/rtp/233.50.201.156:5140
台州-1,http://123.157.31.182:7912/rtp/233.50.201.157:5140
湖州公共,http://123.157.31.182:7912/rtp/233.50.201.158:5140
金华新闻,http://123.157.31.182:7912/rtp/233.50.201.161:5140
丽水新闻,http://123.157.31.182:7912/rtp/233.50.201.162:5140
嘉兴新闻,http://123.157.31.182:7912/rtp/233.50.201.163:5140
桐乡新闻,http://123.157.31.182:7912/rtp/233.50.201.169:5140
杭州导视,http://123.157.31.182:7912/rtp/233.50.201.182:5140
之江记录,http://123.157.31.182:7912/rtp/233.50.202.25:5140
优优宝贝,http://123.157.31.182:7912/rtp/233.50.202.24:5140
YMG新闻,http://123.157.31.182:7912//rtp/233.50.201.159:5140
法制天地,http://123.157.31.182:7912/rtp/233.50.201.191:5140
金鹰卡通,http://123.157.31.182:7912/rtp/233.50.201.73:5140
哈哈炫动,http://123.157.31.182:7912/rtp/233.50.201.74:5140
动漫秀场,http://123.157.31.182:7912/rtp/233.50.201.184:5140
游戏风云,http://123.157.31.182:7912/rtp/233.50.201.183:5140
乐游,http://123.157.31.182:7912/rtp/233.50.201.185:5140
金色学堂,http://123.157.31.182:7912/rtp/233.50.201.186:5140
生活时尚,http://123.157.31.182:7912/rtp/233.50.201.187:5140
茶频道,http://123.157.31.182:7912/rtp/233.50.201.188:5140
快乐垂钓,http://123.157.31.182:7912/rtp/233.50.201.109:5140
BesTV,http://123.157.31.182:7912/rtp/233.50.201.201:5140
中国蓝直播,http://123.157.31.182:7912/rtp/233.50.201.193:5140
新视觉HD,http://123.157.31.182:7912/rtp/233.50.201.244:5140
欢笑剧场,http://123.157.31.182:7912/rtp/233.50.201.189:5140
都市剧场,http://123.157.31.182:7912/rtp/233.50.201.190:5140
电视购物,http://123.157.31.182:7912/rtp/233.50.201.248:5140
家有购物,http://123.157.31.182:7912/rtp/233.50.201.90:5140
游戏频道,http://123.157.31.182:7912/rtp/233.50.201.207:5140
游戏频道,http://123.157.31.182:7912/rtp/233.50.201.215:5140
未知频道,http://123.157.31.182:7912/rtp/233.50.201.224:5140
中国蓝直播,http://123.157.31.182:7912/rtp/233.50.201.108:5140
浙江之声广播,http://123.157.31.182:7912/rtp/233.50.201.79:5140
浙江新闻广播,http://123.157.31.182:7912/rtp/233.50.201.80:5140
经济频道广播,http://123.157.31.182:7912/rtp/233.50.201.81:5140
音乐调频广播,http://123.157.31.182:7912/rtp/233.50.201.82:5140
交通之声广播,http://123.157.31.182:7912/rtp/233.50.201.83:5140
旅游之声广播,http://123.157.31.182:7912/rtp/233.50.201.84:5140
城市之声广播,http://123.157.31.182:7912/rtp/233.50.201.85:5140
民生资讯广播,http://123.157.31.182:7912/rtp/233.50.201.86:5140
